baseline,0.8 micron
0,1
5,0.9861647821866895
10,0.9781869670348662
15,0.9712295239420691
20,0.9668832641506512
25,0.9644306090567117
30,0.9656175010961506
35,0.9674923824083037
40,0.9708797981185896
45,0.9733182275019091
50,0.9733427395386447
55,0.9723999604148742
60,0.9712882234126023
65,0.9690569551709802
70,0.9679816861689794
75,0.9680339286709351
80,0.9694522070787842
85,0.9710167622127301
90,0.9718525962923195
95,0.9724190977579557
100,0.9724044292459837
105,0.9714792480035914
110,0.9706946887445393
115,0.9696980050389176
120,0.9692505435028965
125,0.9694426986260594
130,0.9696638387819645
135,0.9705953266464671
140,0.9708091674737495
145,0.9712000180197216
150,0.9710253281880995
155,0.9704099391515204
160,0.96966591249149
165,0.9689743455315137
170,0.9693514626127021
175,0.969300865266461
180,0.9703665460823843
185,0.9709196651299318
190,0.9721284222202399
195,0.971607339861773
200,0.97086747138522
