baseline,2.11817micron
0,1
5,0.9767528026713723
10,0.9095865731403634
15,0.8049841760045829
20,0.6717920596669232
25,0.5199281637678121
30,0.3594585522157461
35,0.20007755198787142
40,0.05079584405747982
45,0.08248271623251766
50,0.19176103390329616
55,0.27412378061933534
60,0.32725911392321994
65,0.3508300841508074
70,0.34616800038664064
75,0.31626281769561093
80,0.26537980651713605
85,0.19877830249653552
90,0.12240603989533733
95,0.04247400886714766
100,0.035510223579887264
105,0.10525648892651507
110,0.1627102477310132
115,0.20440018425242812
120,0.22823162020249943
125,0.23351287164075782
130,0.22098027846979293
135,0.1925772779219647
140,0.15133149267998844
145,0.10103801587616185
150,0.04594571169930527
155,0.009777171014974648
160,0.061439793194255646
165,0.10579512384382952
170,0.13981510609713727
175,0.16147680582508878
180,0.16982201763616642
185,0.16493410335309777
190,0.14786334222873299
195,0.12056057375658073
200,0.08561313486145057
